Toi,Label,Orbital_period,Transit_duration,Transit_depth,Planet_radius,Planet_equilibrium_temperature,Magnitude,Stellar_temperature,Stellar_radius
1000.01,0,2.1713484,2.0172196,656.8860989,5.8181633,3127.204052,9.604,10249,2.16986
1002.01,0,1.8675574,1.408,1500,23.7529,2037,9.299501,8924,5.73
1003.01,0,2.74323,3.167,383.41,,1631,9.3003,5388.5,
1004.01,0,3.5730141,3.37,755,11.3113,4260,9.1355,9219,2.15
1005.01,0,4.5505945,2.654,3731,7.10841,1257,9.1309,5613,1.09
1006.01,0,2.5047918,4.3797563,2270.540219,8.6950898,1649.82207,9.2386,6616,1.53429
1008.01,0,2.0483755,2.767,483,3.19621,,8.9362,6858.5,1.57
1010.01,0,0.6808702,2.4634563,1507.800689,5.9115908,4382.026606,8.45086,9438,1
1013.01,0,5.4255548,3.9637474,14939.63422,,1037.275305,7.6095,8868.7,
1014.01,0,1.4095184,0.9484999,2841.510326,,1625.618022,7.678,9307,
1015.01,0,1.3730466,2.5708515,1301.506534,42.1479417,1912.331864,10.7069,4897,6.7996101
1016.01,0,12.6889415,7.9201001,3232.852789,14.0608342,1158.131037,10.6257,7601,1.53641
1017.01,0,1.10422,2.37,14177.7,21.0448,3926,10.6019,6995.2,1.61
1018.01,0,4.95912,2.509,7440,22.9123,1419,10.6254,5889,2
1020.01,0,3.28892,3.793,10518.9,,3661,10.7173,8734.2,
1021.01,0,1.90879,1.909,618.482,3.34688,1561,10.5551,6022.6,1.22
1023.01,0,1.3214483,3.435,2180,21.8839,3827,9.697,5050.8,2.99
1024.01,0,18.0157,2.524,610,21.644,463,10.0814,4709,7.61
1025.01,0,9.6837908,1.6988586,4965.249652,25.3602704,1985.077197,5.5324,8598.7,
1026.01,0,14.2628757,6.9350494,913.2067174,2.4765813,980.3628831,9.9138,5690,0.853898
1028.01,0,1.01606,2.843,240,1.20704,2023,7.9059,4634,0.68
1029.01,0,36.22214,5.107,7170,,,6.841,,
1030.01,0,12.1246519,4.612,7279,17.6729,1057,9.5706,4807.6,1.07
1031.01,0,5.652623,3.434,1250,8.94354,2011,9.7318,6415.4,1.92
1033.01,0,29.0161646,5.345,1238.338159,6.8208109,,10.0163,6113.1,2.01
1034.01,0,3.6404389,2.5339234,476.3077321,3.7025342,2783.098027,9.8174,9810,1.60776
1037.01,0,1.2025238,1.991,390,6.31106,5952,9.0211,9158,1.74
1038.01,0,3.2235985,2.159,680,5.51341,,8.7157,8904,2.17
1040.01,0,2.55555,1.566,397.9246747,12.5272602,2145,8.3854,10037,6.04
1041.01,0,8.30792,3.228,8350,43.1068,1924,8.0981,9081,3.05
1042.01,0,0.758082,1.8184632,583.93181,10.1273702,5499.747633,9.718,9917,3.5086601
1043.01,0,1.4415577,2.349,507,3.61078,3174,9.5719,6902,1.52
1045.01,0,3.7039994,4.277,7590,17.57,2149,9.6306,7013.8,1.9
1046.01,0,1.3042553,1.706,914,9.36472,3569,10.0119,6762,1.75
1047.01,0,0.62627,0.666,1880,5.72162,2101,10.2355,5622,0.93
1048.01,0,0.30412,0.748,1330,10.417,6413,8.802,11892,2.52
1053.01,0,5.742625,2.860293,1105.760867,13.088532,,8.8849,5664,3.86959
1061.01,0,0.540933,1.674337,257.347459,2.28501,,9.7345,5525,1.21935
1070.01,0,2.9776152,3.25697,43218.11168,26.88423,1386.5,15.7114,5740,1.28
1072.01,0,12.8379689,9.8464123,10539.01928,25.4886382,1225,11.7106,5765,2.4494
1087.01,0,9.30992,3.464,2220,14.2968,1067,9.4142,6907,3.09
1089.01,0,4.73703,3.902,2410,25.7144,4243,10.3918,11600,2.48
1090.01,0,2.19296,4.586,4933.74,22.7769,3722,10.0196,7009.8,2.95
1092.01,0,1.1923,3.119,3730,30.666,3958,9.0039,6534,2.04
1093.01,0,11.47606,6.083,3050,,,10.0067,,
1096.01,0,0.9209526,1.8602735,360.8801529,5.7349089,3430.762244,10.11,6553,2.8908899
1100.01,0,20.0731588,3.8449215,1152.964546,4.0506906,736.1368293,10.5135,6033,1.14849
1101.01,0,2.66903,1.548,3110,9.36823,1268,10.5891,5803.5,1.56
1102.01,0,6.63371,2.122,1555.34,2.75375,610,10.5652,4138.1,0.63
1104.01,0,341.2791676,7.0132492,8583.558465,21.4801659,316.045088,7.5622,6058.6,1.39203
1108.01,0,7.14386,1.467,11146.4,22.1531,,9.941,7860,1.91
1109.01,0,7.04083,2.979,1580,8.46404,1505,9.7906,5317,0.91
1110.01,0,2.4545635,2.321,4248,11.1276,1899,9.6789,6610,1.64
1111.01,0,11.4756978,0.808,8341,14.1098,512,9.3871,7262,2.13
1112.01,0,2.78186,2.456,490,4.92567,1680,9.5162,6819,2.21
1113.01,0,6.4410082,1.798,7076,4.59203,471,9.66865,3469,0.53
1118.01,0,4.13812,3.911,5560,,1386,10.5084,4898.4,
1120.01,0,1.66226,3.321,6030,13.3343,2561,10.4063,7301,1.64
1121.01,0,4.07611,2.062,1454.18,,,11.0605,,
1122.01,0,3.6245513,3.042,1299,4.3503,,10.2934,6317,1.38
1126.01,0,1.6268695,3.231,1502,2.36498,1850,10.3579,5034,0.73
1127.01,0,2.32439,4.453,2704.18,,4502,7.3163,8268.5,
1128.01,0,13.5499,1.795,1180,6.24633,660,9.7298,6209,1.63
1129.01,0,4.43651,3.365,1520,19.9664,2653,8.7823,7101.9,2.32
1132.01,0,1.5502952,2.938,411,3.34528,2839,9.2293,7851,1.86
1133.01,0,1.80709,3.297,450,4.86242,2569,9.11458,6244,2.2
1134.01,0,18.6922101,7.765,11126,18.1458,1141,9.03609,6277,1.65
1138.01,0,0.64971,2.076,620,6.23181,4731,8.90601,9994,2.59
1140.01,0,13.7431084,2.285,5688,12.05,844,8.88797,5941.5,1.34
1141.01,0,16.9487087,4.2887767,156467.548,45.2204505,758.5937679,8.8523,5894.7,1.1179
1142.01,0,3.3686634,3.012,3288,42.2321,2775,8.64028,7518,2.68
1143.01,0,11.2071839,4.366,3276,17.4989,1487,8.63287,6152,2.24
1145.01,0,2.97164,1.534,7350,,2076,8.5011,8562.5,
1146.01,0,0.660179,1.6349369,473.0939303,6.1672487,5717.153248,8.40386,8598.7,2.62432
1147.01,0,10.9278415,2.468,2743,49.1695,1129,8.36544,6259,2.92
1155.01,0,1.32003,3.175,552.468,,,9.711,,
1156.01,0,1.6865822,2.429,1770,,,9.7032,,
1157.01,0,13.0727479,3.044,4080,35.7944,1074,9.6043,5709.8,3.59
1158.01,0,2.9258727,4.075,6720,24.4055,2066,9.5967,4884.5,1.3
1159.01,0,0.73774,0.636,524.852,5.28215,,9.5937,6449.5,2.1
1160.01,0,2.3664127,2.591,300,,,9.577,,
1164.01,0,3.2077145,2.708,9640,,,9.329701,,
1166.01,0,1.8824539,2.46,1391,8.29008,3091,9.7604,5900.4,1.13
1167.01,0,15.196,1.792,1970,4.96345,,10.3874,5807,1.14
1168.01,0,2.1358631,1.559,10325,23.6019,1745,10.381,5969,1.5
1170.01,0,1.8296155,2.166,1406,29.3616,3751,10.349,7875,3.5
1171.01,0,11.1876137,3.183,4924,31.8624,1499,10.3075,7266,2.05
1172.01,0,7.8513949,6.835,22029,,,10.3018,,
1175.01,0,7.5022708,2.605,1760,5.55812,940,10.2026,6229,1.27
1177.01,0,1.692892,2.886,1418,11.2371,5800,10.1617,9121.5,2.1
1178.01,0,2.6652007,3.49,819,2.35964,2045,10.1358,4043.4,0.56
1182.01,0,7.6416041,2.654,6025,27.538,1303,10.0049,6496.7,2.05
1183.01,0,5.9294088,2.933,10226,10.8101,,9.9478,5095.6,1.06
1185.01,0,1.1967018,1.879,824,10.3239,3534,9.94025,5997,1.73
1186.01,0,11.2464616,7.391,7576,17.6677,1218,9.92402,6115.7,2.01
1188.01,0,8.5112,3.486,4172.76,,,9.886581,8156,
1191.01,0,15.7335693,3.288,2540,24.3218,1219,9.7831,6800,2.21
1193.01,0,2.2219839,1.996,4394,15.4416,,10.4813,7166.8,1.87
1195.01,0,4.05135,2.4,1132.23,14.2359,,10.4717,4974.4,3.85
1200.01,0,0.8352406,1.043,2065,6.4875,2345,10.402,6105,1.24
1202.01,0,,2.726775,878.134108,1.710706,448.0162269,8.386,3773,0.577983
1206.01,0,0.831542,1.985538,248.969585,1.881684,1999.379666,8.6014,5824,1.1512
1210.01,0,79.3739596,5.392,1227,2.17454,368,11.1762,5168.33,0.77
1213.01,0,27.2149622,3.7190483,4731.404623,8.3475973,573.0537137,10.6392,6270,0.989667
1223.01,0,14.64319,2.5483426,242.7923919,3.41248,1134.279147,9.3109,6516,2.04178
1234.01,0,2.2645386,3.8193701,15019.94209,5.1936764,616.7174475,13.7991,3443,0.411471
1253.01,0,4.6756655,1.914,738,4.03134,1085,9.89947,5779,1.45
1256.01,0,1.0332441,3.8017836,26111.5082,4.087988,516.1833775,13.5608,2972,0.156193
1270.01,0,14.3034613,3.135,48840,18.4949,551,11.463,5056.6,0.83
1284.01,0,1.283251,2.012261,1961.318203,2.558112,923.6720985,12.5313,3855,0.560391
